"","Title","Currency","amountAwarded","awardDate","Organisation","fundingOrg","fundingDept","grantProgramme","amountRequested","orgSize"
"572","Grant to LB Barking and Dagenham","GBP",1064151,2015-07-28,"LB Barking and Dagenham","Greater London Authority","Development, Enterprise & Environment","LEP New Homes Bonus Programme",1463205.55648654,"large"
"573","Grant to LB Bexley","GBP",429044,2016-03-15,"LB Bexley","Greater London Authority","Development, Enterprise & Environment","LEP New Homes Bonus Programme",361588.982993362,"large"
"574","Grant to LB Bexley","GBP",449111,2016-03-15,"LB Bexley","Greater London Authority","Development, Enterprise & Environment","LEP New Homes Bonus Programme",336183.132885434,"large"
"575","Grant to LB Ealing","GBP",2493030,2016-02-23,"LB Ealing","Greater London Authority","Development, Enterprise & Environment","LEP New Homes Bonus Programme",3132769.12158919,"large"
"576","Grant to Peabody Community Foundation","GBP",833984,2017-08-04,"Peabody Community Foundation","Greater London Authority","Development, Enterprise & Environment","2work GLA European Social Fund programme (Team London)",1070953.93393574,"small"
"577","Grant to Barnet and Southgate College","GBP",5931021,2015-11-24,"Barnet and Southgate College","Greater London Authority","Development, Enterprise & Environment","Further Education Capital Investment Fund Round 1",5791744.16333674,"med"
"578","Getting Back on Track (YIF)","GBP",49958,2017-08-04,"Dame Kelly Holmes Trust","Greater London Authority","Communities and Intelligence","Youth Innovation Fund",76791.976119415,"large"
"579","Care Leavers into Work (YIF)","GBP",299643,2017-09-18,"Drive Forward Foundation","Greater London Authority","Communities and Intelligence","Youth Innovation Fund",414710.90808054,"med"
"580","2Work","GBP",833984,2017-11-10,"Peabody Community Trust","Greater London Authority","Communities and Intelligence","Youth Innovation Fund",1464039.79754816,"small"
"581","Forces for London","GBP",352000,2017-12-11,"RFEA","Greater London Authority","Communities and Intelligence","Volunteering as a Route to Work Programmes",559998.77159233,"small"
"582","Grant to Battersea Arts Centre","GBP",350000,2018-08-06,"Battersea Arts Centre","Greater London Authority","Communities and Intelligence","London Borough of Culture",279075.370973039,"med"
"583","Grant to Big Creative Training Ltd","GBP",1800000,2015-11-24,"Big Creative Training Ltd","Greater London Authority","Development, Enterprise & Environment","Further Education Capital Investment Fund Round 1",1963316.85950566,"small"
"584","Grant to Morley College","GBP",1111000,2015-11-24,"Morley College","Greater London Authority","Development, Enterprise & Environment","Skills for Londoners Capital Fund",1611210.65808014,"med"
"585","Grant to Uxbridge College","GBP",196000,2015-11-16,"Uxbridge College","Greater London Authority","Development, Enterprise & Environment","Further Education Capital Investment Fund Round 1",201900.437973996,"small"
"586","Grant to Westminster Kingsway College","GBP",7e+05,2015-10-27,"Westminster Kingsway College","Greater London Authority","Development, Enterprise & Environment","Further Education Capital Investment Fund Round 2",994696.514219731,"small"
"587","Grant to East London Advanced Technology Training","GBP",147962,2015-11-18,"East London Advanced Technology Training","Greater London Authority","Development, Enterprise & Environment","Further Education Capital Investment Fund Round 3",145960.98290222,"small"
"588","Grant to Hackney Community College","GBP",982980,2015-11-19,"Hackney Community College","Greater London Authority","Development, Enterprise & Environment","Further Education Capital Investment Fund Round 4",1039020.620181,"small"
"589","Grant to Havering College","GBP",5446191,2017-11-08,"Havering College","Greater London Authority","Development, Enterprise & Environment","Further Education Capital Investment Fund Round 5",6775444.73201776,"small"
"590","Albany Park River Restoration","GBP",346000,2018-08-15,"LB Enfield","Greater London Authority","Development, Enterprise & Environment","National Park City Programme - 2018 to 2021",443607.844140168,"large"
"591","Greenford to Gurnell Greenway","GBP",325000,2018-08-15,"LB Ealing","Greater London Authority","Development, Enterprise & Environment","National Park City Programme - 2018 to 2021",249782.020680496,"small"
"592","Southbank Undercroft Transformation Project","GBP",7e+05,2018-08-30,"Southbank Centre","Greater London Authority","Development, Enterprise & Environment","Good Growth Fund",988804.11835727,"med"
"593","Delivery of the Royal Docks Public Art Work Programme","GBP",120000,2018-09-10,"Up Projects","Greater London Authority","Housing and Land","Royal Docks Activation and Events Programme",133624.4199804,"small"
"594","Grant to London Design Festival","GBP",750000,2018-09-10,"London Design Festival","Greater London Authority","Communities and Intelligence","Creative Industries",1079385.32518179,"large"
"595","London Games Festival","GBP",1200000,2018-09-06,"Film London","Greater London Authority","Communities and Intelligence","Games London Inward Investment Programme",1683324.80704904,"large"
"596","London QCC Project","GBP",153421,2018-09-17,"The Woodland Trust","Greater London Authority","Development, Enterprise & Environment","National Park City Programme - 2018 to 2021",205124.341107916,"large"
"597","Kitchen social holiday hunger programme","GBP",20000,2018-09-06,"Mayor's Fund for London","Greater London Authority","Development, Enterprise & Environment","GLA Food Programme 2018-19",19345.3030146836,"small"
"598","Grant to Sustain:  the alliance for better food and farming","GBP",15000,2018-07-30,"Sustain - The Alliance for better food and farming","Greater London Authority","Development, Enterprise & Environment","GLA Food Programme 2018-19",24117.9600065262,"med"
"599","Grant to The Conservation Volunteers","GBP",79500,2018-09-28,"The Conservation Volunteers","Greater London Authority","Development, Enterprise & Environment","Greener City Fund",117536.445111189,"med"
"600","Contactless Giving Ecosystem","GBP",23500,2018-07-01,"TAP Local CIC","Greater London Authority","Housing and Land","Rough Sleeping Innovation Fund",27985.7436349744,"large"
"601","London's winter night shelter capacity","GBP",450000,2018-09-01,"Housing Justice","Greater London Authority","Housing and Land","Rough Sleeper Services",445562.612773608,"med"
"602","More than Shelters","GBP",33263,2018-06-25,"Housing Justice","Greater London Authority","Housing and Land","Rough Sleeping Innovation Fund",35502.0928674769,"small"
"603","The Next Generation campaign","GBP",2e+05,2018-10-11,"LB Lambeth","Greater London Authority","Communities and Intelligence","London Borough of Culture",309204.293904046,"med"
"604","Rich music heritage","GBP",90000,2018-08-15,"LB Kingston upon Thames","Greater London Authority","Communities and Intelligence","London Borough of Culture",87240.0639763847,"small"
"605","Grant to London Sport Ltd","GBP",905000,2018-10-18,"London Sport Ltd","Greater London Authority","Communities and Intelligence","Major Sports Events Community Engagement Fund",1494600.59236528,"med"
"606","Innovate UK - Future Cities Demonstrator","GBP",267641,2018-10-19,"LB Islington","Greater London Authority","Development, Enterprise & Environment","Smart London Demonstrator Programme",482217.24469265,"med"
"607","Museum of London dementia project","GBP",1e+05,2018-09-19,"Museum of London","Greater London Authority","Communities and Intelligence","Museum of London dementia project",154146.100991782,"large"
"608","Good Food and Food Bank reports","GBP",5000,2018-09-24,"Sustain","Greater London Authority","Development, Enterprise & Environment","GLA Food Programme 2018-19",3943.39582511177,"small"
"609","Reduce Council Tax Arrears in LB Newham","GBP",142000,2018-10-03,"LB Newham","Greater London Authority","Resources","Reduce the Level of Council Tax Arrears in the London Borough of Newham",155536.392365234,"med"
"610","Young Londoners Fund","GBP",90000,2018-10-01,"Lewisham Youth Theatre","Greater London Authority","Communities and Intelligence","Young Londoners Fund",118552.580092165,"med"
"611","Camden Alive","GBP",225000,2018-11-01,"LB Camden","Greater London Authority","Communities and Intelligence","London Borough of Culture",264577.358372621,"small"
"612","Lake within Beckenham Place Park","GBP",440000,2018-11-01,"LB Lewisham","Greater London Authority","Development, Enterprise & Environment","National Park City Programme - 2018 to 2021",449635.104716904,"large"
"613","Young Londoners Fund","GBP",72000,2018-10-01,"Free to Be Kids","Greater London Authority","Communities and Intelligence","Young Londoners Fund",66403.7543296944,"small"
"614","Young Londoners Fund","GBP",88917,2018-10-01,"St Paul's Cathdral","Greater London Authority","Communities and Intelligence","Young Londoners Fund",105765.229169739,"large"
"615","Young Londoners Fund","GBP",79753,2018-10-01,"Knights Youth Centre","Greater London Authority","Communities and Intelligence","Young Londoners Fund",89712.7768442279,"med"
"616","Negotiated Stopping Research","GBP",30000,2018-11-02,"London Gypsies and Travellers","Greater London Authority","Housing and Land","Negotiated Stopping Research",50159.7645094557,"large"
"617","Creative Land trust","GBP",150000,2018-10-26,"Creative Land Trust Ltd","Greater London Authority","Communities and Intelligence","Mayor's Strategic Investment Fund",236682.467353531,"large"
"618","Maximisation of Business Rates Income in LB Islington","GBP",120000,2018-11-09,"LB Islington","Greater London Authority","Resources","Maximisation of Business Rates Income in LB Islington",123399.765711857,"small"
"619","Reducing council tax arrears in the LB Islington","GBP",90000,2018-11-09,"LB Islington","Greater London Authority","Resources","Reduce the Level of Council Tax Arrears in the London Borough of Islington",98657.1357897495,"small"
"620","Silkstream Park","GBP",324000,2018-11-26,"LB Barnet","Greater London Authority","Development, Enterprise & Environment","National Park City Programme - 2018 to 2021",484170.048517776,"large"
"621","Grant to LB Harrow","GBP",40194,2017-10-01,"LB Harrow","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",57948.566194951,"small"
"622","Grant to Primrose Hill Community Library","GBP",5180,2017-10-01,"Primrose Hill Community Library","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",4750.7085472985,"med"
"623","Grant to LB Lewisham","GBP",9997.08,2017-10-01,"LB Lewisham","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",14217.9987052069,"small"
"624","Grant to Aylestone Park Tenants and Residents Association","GBP",6750,2017-10-01,"Aylestone Park Tenants and Residents Association","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",8651.13200493484,"med"
"625","Grant to LB Hackney","GBP",47194.2,2017-10-01,"LB Hackney","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",56693.6674334743,"med"
"626","Grant to Trees for Cities","GBP",10190,2017-10-01,"Trees for Cities","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",11221.5076037623,"large"
"627","Grant to Friends of Mountsfield Park","GBP",5110,2017-10-01,"Friends of Mountsfield Park","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",4662.48674806471,"large"
"628","Grant to LB Enfield","GBP",20000,2017-10-01,"LB Enfield","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",22180.7973593123,"large"
"629","Grant to Friends of Stamford Hill","GBP",5157,2017-10-01,"Friends of Stamford Hill","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",4760.23795627173,"large"
"630","Grant to Trees for Cities","GBP",15000,2017-10-01,"Trees for Cities","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",20991.9887051379,"med"
"631","Grant to Trees for Cities","GBP",15000,2017-10-01,"Trees for Cities","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",21727.82331992,"med"
"632","Grant to LB Waltham Forest","GBP",5303,2017-10-01,"LB Waltham Forest","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",5849.44873746201,"small"
"633","Grant to Hanger Hill Garden Estate Residents Association","GBP",5000,2017-10-01,"Hanger Hill Garden Estate Residents Association","Greater London Authority","Development, Enterprise & Environment","Greener City Fund: Community Tree Planting Grants",5061.31741633658,"med"
